,team,2017-2018,2018-2019,2019-2020,2020-2021
ENG Premier League,Arsenal,0.5750000000000041,0.5500000000000017,0.2000000000000052,0.399999999999998
ENG Premier League,Aston Villa,,,-0.6499999999999952,0.22499999999999787
ENG Premier League,Bournemouth,-0.3999999999999967,-0.3499999999999992,-0.6249999999999949,
ENG Premier League,Brighton,-0.4999999999999962,-0.6249999999999986,-0.37499999999999506,-0.15000000000000238
ENG Premier League,Burnley,-0.07499999999999714,-0.5749999999999984,-0.17499999999999516,-0.5500000000000022
ENG Premier League,Cardiff,,-0.8749999999999983,,
ENG Premier League,Chelsea,0.6000000000000035,0.6000000000000014,0.37500000000000544,0.5499999999999972
ENG Premier League,Crystal Palace,-0.24999999999999534,-0.049999999999998594,-0.47499999999999537,-0.6250000000000012
ENG Premier League,Everton,-0.3499999999999968,0.20000000000000148,-0.29999999999999477,-0.025000000000003342
ENG Premier League,Fulham,,-1.174999999999998,,-0.6500000000000021
ENG Premier League,Huddersfield,-0.749999999999996,-1.3499999999999994,,
ENG Premier League,Leeds,,,,0.1999999999999984
ENG Premier League,Leicester,-0.09999999999999577,0.07500000000000086,0.6500000000000052,0.4499999999999977
ENG Premier League,Liverpool,1.150000000000003,1.6750000000000018,1.3000000000000054,0.6499999999999976
ENG Premier League,Man City,1.9750000000000043,1.800000000000001,1.675000000000006,1.2749999999999975
ENG Premier League,Man United,1.0000000000000036,0.27500000000000124,0.7500000000000046,0.724999999999997
ENG Premier League,Newcastle,-0.19999999999999715,-0.14999999999999908,-0.4999999999999952,-0.4000000000000024
ENG Premier League,Norwich,,,-1.2249999999999948,
ENG Premier League,Sheffield United,,,5.350901951708426e-15,-1.0750000000000015
ENG Premier League,Southampton,-0.47499999999999654,-0.5000000000000001,-0.22499999999999362,-0.5250000000000021
ENG Premier League,Stoke,-0.8249999999999955,,,
ENG Premier League,Swansea,-0.6999999999999948,,,
ENG Premier League,Tottenham,0.9500000000000031,0.7000000000000012,0.35000000000000514,0.5749999999999975
ENG Premier League,Watford,-0.49999999999999606,-0.17499999999999954,-0.6999999999999945,
ENG Premier League,West Brom,-0.624999999999996,,,-1.025000000000002
ENG Premier League,West Ham,-0.49999999999999645,-0.0749999999999992,-0.32499999999999457,0.37499999999999706
ENG Premier League,Wolves,,0.02500000000000073,0.2750000000000048,-0.4000000000000026
ESP La Liga,Alaves,-0.24999999999999847,-0.2749999999999981,-0.6250000000000007,-0.5250000000000005
ESP La Liga,Ath Bilbao,-0.19999999999999796,-0.09999999999999779,0.07499999999999996,0.1000000000000002
ESP La Liga,Ath Madrid,0.9000000000000025,0.6500000000000026,0.5999999999999999,1.0500000000000003
ESP La Liga,Barcelona,1.7500000000000022,1.3500000000000014,1.2000000000000002,1.175
ESP La Liga,Betis,-0.024999999999998808,-0.1999999999999977,-0.3000000000000002,-5.138945373199695e-16
ESP La Liga,Cadiz,,,,-0.5500000000000005
ESP La Liga,Celta,-0.024999999999998447,-0.22499999999999826,-0.3000000000000005,-0.05000000000000056
ESP La Liga,Eibar,-0.14999999999999838,-0.09999999999999809,-0.4250000000000005,-0.5750000000000002
ESP La Liga,Elche,,,,-0.5250000000000002
ESP La Liga,Espanol,-0.14999999999999822,-0.049999999999997866,-0.7750000000000004,
ESP La Liga,Getafe,0.22500000000000103,0.3250000000000023,0.1500000000000001,-0.3750000000000001
ESP La Liga,Girona,-0.22499999999999817,-0.39999999999999775,,
ESP La Liga,Granada,,,0.17499999999999988,-0.44999999999999984
ESP La Liga,Huesca,,-0.5499999999999976,,-0.47500000000000053
ESP La Liga,La Coruna,-0.9499999999999981,,,
ESP La Liga,Las Palmas,-1.2499999999999987,,,
ESP La Liga,Leganes,-0.4249999999999987,-0.14999999999999822,-0.5249999999999998,
ESP La Liga,Levante,-0.3499999999999984,-0.17499999999999752,-0.15000000000000066,-0.2749999999999999
ESP La Liga,Malaga,-0.924999999999998,,,
ESP La Liga,Mallorca,,,-0.6249999999999998,
ESP La Liga,Osasuna,,,-0.20000000000000015,-0.27500000000000024
ESP La Liga,Real Madrid,1.2500000000000027,0.4250000000000024,1.124999999999999,0.9749999999999982
ESP La Liga,Sevilla,-0.22499999999999826,0.3750000000000016,0.5000000000000001,0.5
ESP La Liga,Sociedad,0.17500000000000185,-0.024999999999998267,0.20000000000000004,0.5249999999999996
ESP La Liga,Valencia,0.6750000000000014,0.4000000000000022,-0.17499999999999966,-0.0749999999999998
ESP La Liga,Valladolid,,-0.4749999999999979,-0.27499999999999963,-0.5749999999999997
ESP La Liga,Vallecano,,-0.7249999999999976,,
ESP La Liga,Villarreal,0.17500000000000193,-0.07499999999999793,0.3499999999999998,0.40000000000000024
ITA Serie A,Atalanta,0.45000000000001145,0.775000000000001,1.250000000000003,1.075000000000008
ITA Serie A,Benevento,-1.2749999999999897,,,-0.8749999999999933
ITA Serie A,Bologna,-0.29999999999998844,-0.1999999999999998,-0.3249999999999976,-0.34999999999999226
ITA Serie A,Brescia,,,-1.099999999999997,
ITA Serie A,Cagliari,-0.6999999999999892,-0.4500000000000002,-0.09999999999999738,-0.3999999999999923
ITA Serie A,Chievo,-0.5749999999999889,-1.249999999999999,,
ITA Serie A,Crotone,-0.649999999999989,,,-1.174999999999993
ITA Serie A,Empoli,,-0.47499999999999976,,
ITA Serie A,Fiorentina,0.2000000000000117,0.05000000000000041,0.07500000000000205,-0.29999999999999294
ITA Serie A,Frosinone,,-0.9999999999999991,,
ITA Serie A,Genoa,-0.2499999999999881,-0.44999999999999934,-0.6499999999999967,-0.27499999999999347
ITA Serie A,Inter,0.9000000000000113,0.6000000000000001,1.1250000000000027,1.350000000000007
ITA Serie A,Juventus,1.5500000000000114,0.9999999999999998,0.8250000000000025,0.9750000000000069
ITA Serie A,Lazio,1.0000000000000109,0.2500000000000001,0.9250000000000027,0.15000000000000732
ITA Serie A,Lecce,,,-0.8249999999999974,
ITA Serie A,Milan,0.3500000000000109,0.47500000000000053,0.4250000000000023,0.8250000000000074
ITA Serie A,Napoli,1.2000000000000104,0.95,0.2750000000000023,1.125000000000007
ITA Serie A,Parma,,-0.4999999999999997,-0.02499999999999826,-1.0999999999999928
ITA Serie A,Roma,0.8250000000000107,0.4500000000000003,0.6500000000000031,0.32500000000000756
ITA Serie A,Sampdoria,-0.0999999999999884,0.22499999999999987,-0.4249999999999964,-0.04999999999999222
ITA Serie A,Sassuolo,-0.7499999999999892,-0.17499999999999938,0.15000000000000183,0.2000000000000068
ITA Serie A,Spal,-0.4999999999999886,-0.2999999999999992,-1.2499999999999973,
ITA Serie A,Spezia,,,,-0.4999999999999931
ITA Serie A,Torino,0.20000000000001183,0.3750000000000001,-0.5499999999999986,-0.4749999999999933
ITA Serie A,Udinese,-0.3749999999999889,-0.3499999999999996,-0.34999999999999837,-0.39999999999999314
ITA Serie A,Verona,-1.1999999999999889,,-0.09999999999999802,-0.1249999999999932
DEU Bundesliga 1,Augsburg,-0.08333333333334181,-0.5555555555555628,-0.5000000000000112,-0.5000000000000056
DEU Bundesliga 1,Bayern Munich,1.77777777777777,1.5555555555555487,1.8888888888888786,1.527777777777772
DEU Bundesliga 1,Bielefeld,,,,-0.7222222222222285
DEU Bundesliga 1,Dortmund,0.47222222222221355,1.0277777777777697,1.1944444444444327,0.8055555555555495
DEU Bundesliga 1,Ein Frankfurt,-8.469709509272135e-15,0.33333333333332665,-0.027777777777788528,0.4444444444444388
DEU Bundesliga 1,FC Koln,-0.9722222222222311,,-0.5000000000000118,-0.7222222222222279
DEU Bundesliga 1,Fortuna Dusseldorf,,-0.44444444444445175,-0.8611111111111227,
DEU Bundesliga 1,Freiburg,-0.6666666666666755,-0.4166666666666745,0.02777777777776694,-6.144259658568517e-15
DEU Bundesliga 1,Hamburg,-0.6666666666666755,,,
DEU Bundesliga 1,Hannover,-0.27777777777778645,-1.111111111111118,,
DEU Bundesliga 1,Hertha,-0.08333333333334192,-0.22222222222222923,-0.30555555555556696,-0.3055555555555619
DEU Bundesliga 1,Hoffenheim,0.49999999999999106,0.49999999999999245,-1.1790951498654148e-14,-0.05555555555556109
DEU Bundesliga 1,Leverkusen,0.38888888888888,0.47222222222221494,0.4722222222222104,0.38888888888888296
DEU Bundesliga 1,M'gladbach,-0.13888888888889742,0.3611111111111041,0.7222222222222102,0.22222222222221621
DEU Bundesliga 1,Mainz,-0.3888888888888973,-0.3055555555555628,-0.5833333333333444,-0.4722222222222283
DEU Bundesliga 1,Nurnberg,,-1.1666666666666732,,
DEU Bundesliga 1,Paderborn,,,-1.0277777777777892,
DEU Bundesliga 1,RB Leipzig,0.11111111111110214,0.9444444444444369,1.2222222222222108,0.7777777777777718
DEU Bundesliga 1,Schalke 04,0.44444444444443676,-0.5000000000000069,-0.555555555555567,-1.6944444444444504
DEU Bundesliga 1,Stuttgart,-8.969309870353455e-15,-1.0555555555555636,,0.02777777777777284
DEU Bundesliga 1,Union Berlin,,,-0.4722222222222337,0.19444444444443879
DEU Bundesliga 1,Werder Bremen,-0.08333333333334203,0.24999999999999245,-0.7500000000000118,-0.5833333333333393
DEU Bundesliga 1,Wolfsburg,-0.33333333333334153,0.3333333333333261,0.0555555555555442,0.6666666666666607
FRA Ligue 1,Amiens,-0.12499999999999745,-0.5249999999999991,-0.6208454999587495,
FRA Ligue 1,Angers,-0.24999999999999764,-0.12499999999999885,-0.1658712025361544,-0.4499999999999983
FRA Ligue 1,Bordeaux,0.12500000000000275,-0.19999999999999904,0.25406422882633195,-0.3499999999999975
FRA Ligue 1,Brest,,,-0.17143546805656604,-0.3999999999999974
FRA Ligue 1,Caen,-0.6249999999999967,-0.6249999999999987,,
FRA Ligue 1,Dijon,-0.44999999999999707,-0.7249999999999981,-0.32765978070467666,-1.199999999999997
FRA Ligue 1,Guingamp,-0.27499999999999786,-0.999999999999999,,
FRA Ligue 1,Lens,,,,0.025000000000002274
FRA Ligue 1,Lille,-0.6499999999999977,0.8750000000000012,0.32162355878525833,1.0250000000000021
FRA Ligue 1,Lorient,,,,-0.44999999999999707
FRA Ligue 1,Lyon,1.100000000000003,0.5750000000000007,0.5085615447161532,0.950000000000002
FRA Ligue 1,Marseille,0.825000000000003,0.20000000000000054,0.3414042051690664,0.17500000000000263
FRA Ligue 1,Metz,-1.0499999999999972,,-0.30468373601636334,-0.09999999999999719
FRA Ligue 1,Monaco,1.0000000000000029,-0.47499999999999853,0.013668006147627015,0.8500000000000025
FRA Ligue 1,Montpellier,0.07500000000000277,0.2750000000000013,0.04428282861693877,-0.04999999999999739
FRA Ligue 1,Nantes,-0.12499999999999666,9.143313306604365e-16,-0.03969579271768419,-0.19999999999999746
FRA Ligue 1,Nice,0.025000000000002902,-0.12499999999999832,0.07808803613643535,-0.0749999999999975
FRA Ligue 1,Nimes,,-0.02499999999999839,-0.5286746173610354,-0.7749999999999964
FRA Ligue 1,Paris SG,1.9750000000000025,1.7500000000000007,1.826928539061115,1.4500000000000024
FRA Ligue 1,Reims,,-0.07499999999999966,0.1304743697314622,-0.19999999999999762
FRA Ligue 1,Rennes,0.15000000000000174,0.07500000000000101,0.44666111022642224,0.3000000000000021
FRA Ligue 1,St Etienne,-0.07499999999999728,0.4500000000000012,-0.543644911623853,-0.29999999999999777
FRA Ligue 1,Strasbourg,-0.5749999999999976,0.25000000000000167,-0.040350494704117675,-0.22499999999999767
FRA Ligue 1,Toulouse,-0.39999999999999714,-0.5499999999999986,-1.2228949237376128,
FRA Ligue 1,Troyes,-0.6749999999999969,,,
